case_id,crime_description,crime_category,location_type,victim_count,accused_count,weapon_used,intent,property_value,injury_level,keywords,predicted_bns_sections,applicable_bnss_procedures,applicable_bsa_evidence,punishment_range,case_outcome,case_duration_months,confidence_label
CP-CASE-100001,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Rural Area,1,2,None,Jealousy / Crime of Passion,53451,None,"night burglary, robbery, thief",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Acquittal,19,Low
CP-CASE-100002,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 1178016.,Theft & Burglary,Digital / Online,1,4,None,Property Dispute,1178016,None,"steal, broken lock, thief, night burglary",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Conviction,27,High
CP-CASE-100003,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Commercial,1,4,None,Property Dispute,753834,None,"thief, robbery, jewelry",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Conviction,10,Low
CP-CASE-100004,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Commercial,2,3,None,Spontaneous Argument,168335,None,"forged signature, fake website, ransomware, fake profile, phishing",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Acquittal,44,Low
CP-CASE-100005,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Digital / Online,3,2,Chemical Poison,Accidental / Negligence,0,None,"fight, stab wound, iron rod",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,42,High
CP-CASE-100006,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Residential,2,2,Iron Rod,Jealousy / Crime of Passion,0,Fatal (Death),"homicide, dead body found, fatal attack, motive, stabbed to death",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,38,High
CP-CASE-100007,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 321531.,Theft & Burglary,Public Space,3,1,None,Spontaneous Argument,321531,None,"locker forced, missing cash, jewelry, night burglary",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,47,High
CP-CASE-100008,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,2,2,Firearm / Pistol,Financial Gain,0,Fatal (Death),"dead body found, homicide, stabbed to death, strangulation, gunshot",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Conviction,37,High
CP-CASE-100009,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 503167 from their bank account.",Cyber Crime & Fraud,Commercial,3,1,None,Financial Gain,503167,None,"email hacking, phishing, fake website, fake profile, forged signature",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Referred to Mediation,39,Medium
CP-CASE-100010,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1584905 for his release.,Kidnapping & Abduction,Residential,2,3,Kitchen Knife,Property Dispute,1584905,None,"ransom call, held hostage, unidentified vehicle, kidnap",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Acquittal,43,High
CP-CASE-100011,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 481125 stolen.",Theft & Burglary,Commercial,2,1,None,Property Dispute,481125,None,"jewelry, missing cash, gold chain",Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,21,Medium
CP-CASE-100012,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 204278 cash were stolen.",Theft & Burglary,Digital / Online,2,4,None,Spontaneous Argument,204278,None,"steal, robbery, locker forced, gold chain, house break",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Acquittal,18,Low
CP-CASE-100013,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,2,2,Country-made Gun,Financial Gain,0,Severe (Fracture/Deep Cuts),"beating, fight, scuffle, hospitalized, bruises",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,36,Medium
CP-CASE-100014,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Digital / Online,2,4,Wooden Stick,Spontaneous Argument,0,Fatal (Death),"hospitalized, broken arm, bleeding, scuffle, beating",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,9,Low
CP-CASE-100015,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1929094 for his release.,Kidnapping & Abduction,Rural Area,3,1,Country-made Gun,Personal Vendetta,1929094,None,"ransom call, held hostage, abduction",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,45,Medium
CP-CASE-100016,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Residential,1,3,Iron Rod,Accidental / Negligence,1097354,None,"abducted from school, missing child, held hostage, unidentified vehicle",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,45,High
CP-CASE-100017,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Public Space,2,1,Iron Rod,Accidental / Negligence,448016,None,"abducted from school, abduction, forced custody, missing child",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Conviction,48,High
CP-CASE-100018,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 1866862 stolen.",Theft & Burglary,Digital / Online,2,3,None,Property Dispute,1866862,None,"house break, gold chain, jewelry",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,9,Low
CP-CASE-100019,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 93456 from their bank account.",Cyber Crime & Fraud,Rural Area,1,3,None,Personal Vendetta,93456,None,"email hacking, fake profile, cloned identity, credit card fraud, online scam",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Conviction,40,Medium
CP-CASE-100020,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Digital / Online,1,3,Wooden Stick,Financial Gain,311575,None,"held hostage, unidentified vehicle, extortion demand, kidnap",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Acquittal,21,High
CP-CASE-100021,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Commercial,3,2,None,Accidental / Negligence,377146,None,"robbery, thief, steal",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Settled / Compromised,35,Medium
CP-CASE-100022,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,2,3,Country-made Gun,Financial Gain,0,Moderate (Stitch/Sprain),"scuffle, iron rod, stab wound, fight",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,43,High
CP-CASE-100023,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Public Space,2,1,Kitchen Knife,Property Dispute,912346,None,"missing child, kidnap, extortion demand",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,29,High
CP-CASE-100024,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Public Space,3,3,Chemical Poison,Spontaneous Argument,659328,None,"forced custody, missing child, abduction, ransom call",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,17,Low
