case_id,court,judge,facts,issues,evidence_summary,decision,sentence,bns_sections,bnss_procedures,bsa_provisions,judgment_summary
CP-CASE-100001,District and Sessions Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.",Whether the accused is guilty under Section 303 (Theft) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 57 (Admissibility of Electronic Records). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),"In District and Sessions Court, Judge Rajesh K. Mehta passed a judgment regarding the Theft & Burglary case. Verdict: Acquittal. Duration: 19 months."
CP-CASE-100002,Chief Judicial Magistrate Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that a thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of inr 1178016.",Whether the accused is guilty under Section 305 (Theft in Dwelling) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 57 (Admissibility of Electronic Records). Police officer notes confirm details.,The Court finds the accused guilty of Theft & Burglary and is sentenced accordingly.,1 to 7 Years Imprisonment & Fine,Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),"In Chief Judicial Magistrate Court, Judge Rajesh K. Mehta passed a judgment regarding the Theft & Burglary case. Verdict: Conviction. Duration: 27 months."
CP-CASE-100003,Chief Judicial Magistrate Court,Judge Shalini Joshi,"On examination of witnesses and documents, it is observed that accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.",Whether the accused is guilty under Section 331 (Lurking House-trespass) and whether procedures in Section 184 (Medical Examination of Victim) were fully complied with.,The prosecution submitted Section 57 (Admissibility of Electronic Records). Police officer notes confirm details.,The Court finds the accused guilty of Theft & Burglary and is sentenced accordingly.,1 to 7 Years Imprisonment & Fine,Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),"In Chief Judicial Magistrate Court, Judge Shalini Joshi passed a judgment regarding the Theft & Burglary case. Verdict: Conviction. Duration: 10 months."
CP-CASE-100004,District and Sessions Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that accused created a fake social media profile using the complainant's photos and extorted money from their contacts.",Whether the accused is guilty under Section 336 (Forgery) and whether procedures in Section 105 (Search and Seizure of Electronic Devices) were fully complied with.,The prosecution submitted Section 63 (Admissibility of Electronic Signatures). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),"In District and Sessions Court, Justice Anand Verma passed a judgment regarding the Cyber Crime & Fraud case. Verdict: Acquittal. Duration: 44 months."
CP-CASE-100005,Chief Judicial Magistrate Court,Judge Shalini Joshi,"On examination of witnesses and documents, it is observed that complainant was attacked while returning home. the suspect slashed the victim's shoulder with a knife before fleeing.",Whether the accused is guilty under Section 117 (Voluntarily Causing Grievous Hurt) and whether procedures in Section 176 (Inquiry by Police in Custodial Deaths/Violence) were fully complied with.,The prosecution submitted Section 32 (Relevancy of Statement of Dead Person). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),"In Chief Judicial Magistrate Court, Judge Shalini Joshi passed a judgment regarding the Assault & Hurt case. Verdict: Settled / Compromised. Duration: 42 months."
CP-CASE-100006,Metropolitan Magistrate Court,Judge Shalini Joshi,"On examination of witnesses and documents, it is observed that a body was found near a lake showing signs of strangulation and blunt force trauma to the head.",Whether the accused is guilty under Section 103 (Culpable Homicide Not Amounting to Murder) and whether procedures in Section 194 (Inquest Reports on Accidental or Unnatural Deaths) were fully complied with.,The prosecution submitted Section 26 (Admission by Party to Proceeding). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),"In Metropolitan Magistrate Court, Judge Shalini Joshi passed a judgment regarding the Murder & Homicide case. Verdict: Dismissed for Lack of Evidence. Duration: 38 months."
CP-CASE-100007,Metropolitan Magistrate Court,Judge M. Durai,"On examination of witnesses and documents, it is observed that a thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of inr 321531.",Whether the accused is guilty under Section 303 (Theft) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 60 (Primary Evidence). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),"In Metropolitan Magistrate Court, Judge M. Durai passed a judgment regarding the Theft & Burglary case. Verdict: Settled / Compromised. Duration: 47 months."
CP-CASE-100008,Chief Judicial Magistrate Court,Judge M. Durai,"On examination of witnesses and documents, it is observed that a body was found near a lake showing signs of strangulation and blunt force trauma to the head.",Whether the accused is guilty under Section 101 (Murder) and whether procedures in Section 194 (Inquest Reports on Accidental or Unnatural Deaths) were fully complied with.,The prosecution submitted Section 32 (Dying Declaration). Police officer notes confirm details.,The Court finds the accused guilty of Murder & Homicide and is sentenced accordingly.,Life Imprisonment or Death Penalty & Fine,Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),"In Chief Judicial Magistrate Court, Judge M. Durai passed a judgment regarding the Murder & Homicide case. Verdict: Conviction. Duration: 37 months."
CP-CASE-100009,District and Sessions Court,Judge Shalini Joshi,"On examination of witnesses and documents, it is observed that the victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of inr 503167 from their bank account.",Whether the accused is guilty under Section 319 (Cheating by Personation) and whether procedures in Section 173 (Electronic FIR filing) were fully complied with.,The prosecution submitted Section 65 (Special Provisions as to Evidence Relating to Electronic Record). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),"In District and Sessions Court, Judge Shalini Joshi passed a judgment regarding the Cyber Crime & Fraud case. Verdict: Referred to Mediation. Duration: 39 months."
CP-CASE-100010,Metropolitan Magistrate Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that a businessman was kidnapped from his farmhouse by armed assailants demanding inr 1584905 for his release.",Whether the accused is guilty under Section 142 (Kidnapping or Abducting in order to Murder) and whether procedures in Section 173 (Zero FIR registration) were fully complied with.,The prosecution submitted Section 114 (Presumption as to Absence of Consent). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),"In Metropolitan Magistrate Court, Justice H.S. Sangwan passed a judgment regarding the Kidnapping & Abduction case. Verdict: Acquittal. Duration: 43 months."
